track_name,track_id,Danceability,Energy,Acousticness,Valence,Key
Light It Up (feat. Nyla & Fuse ODG) [Remix],40MkEbKzuSW9ET6HBngqnK,0.747,0.877,0.0375,0.763,9.0
If I Lose Myself - Alesso vs OneRepublic,1YDJ2f1JuKzYWZpRYiBYHu,0.516,0.79,0.249,0.136,2.0
Siren - Extended Mix,5cj8mnNuhZ4KZhxjSLTrQi,0.625,0.863,0.0997,0.423,0.0
Stronger On My Own,0LbWbOs355EmIMIJPmkum5,0.474,0.803,0.00314,0.363,9.0
Headlights,4gFh3BwE0uSu0noaPuYk89,0.694,0.777,0.172,0.487,11.0
First Of The Year (Equinox),5i7fZq3chLyCHo3VeB6goD,0.429,0.948,0.00711,0.561,5.0
Ecstasy,0wYVNC09iLBVIqHB07Hckt,0.658,0.878,0.135,0.908,8.0
End Credits,64I0O6ZipYryKte1cHA2EY,0.231,0.77,0.0101,0.105,1.0
Melodrama - Original Mix,0UCL4qy7w60uQGWUyEpdtw,0.482,0.506,0.00369,0.253,11.0
Forgotten,7kxM3UJwN6rHAW5kwdlAHK,0.626,0.942,0.0141,0.579,8.0
We Are The Sun - SAVOY Remix,4Rw8mKy2QVFYb3ZYnqBpPv,0.374,0.892,0.000609,0.0915,9.0
Give You Back Life (Swifty Song),36VsbiKzTGfjdZMyVos7b2,0.591,0.805,4.76e-05,0.138,8.0
Through The Night - Bare Noize Remix,3ln5b8DzOjoXHP5u89HYN1,0.515,0.865,6.5e-05,0.164,6.0
Sleepless - Original Mix,7owpI9kPFpz7qjIBfNC8F9,0.545,0.671,0.0343,0.0537,1.0
Parallel Lines,0QkkjAMR31mR08oJCf5ZWb,0.573,0.664,0.672,0.16,2.0
We Run The Night,792NyTUEYZD6jPAARVD9s9,0.687,0.866,0.00768,0.675,9.0
Bubblehead,4DvcGIfGhBIGI9ND2V6U9i,0.701,0.961,0.000246,0.553,9.0
Reaching - Original Mix,1zzjHoGaWqtZoUhkqSxnhS,0.549,0.974,0.0116,0.151,4.0
Lose Yourself - Soundtrack Version,33uuhMsavEjGWZ8of1dNIJ,0.703,0.728,0.00509,0.0661,2.0
Still With Me - Seven Lions Remix,1uy0MBpwxwAmNXbQZ197hK,0.242,0.881,0.0131,0.0629,8.0
She Will Be Loved,7sapKrjDij2fpDVj0GxP66,0.695,0.684,0.0593,0.528,0.0
Still Getting It,0kpMAq4SeMfl93tMqlCInk,0.591,0.956,0.00556,0.656,5.0
Heartbreak (Bare Noize Vocal Mix),2HFxvEw1uPkZ0vmfiNr9vZ,0.533,0.914,0.00234,0.236,4.0
Say Nothing - Hardwell & Dannic Remix,1Hg0gx6xMCZj5GiLUvWXHT,0.528,0.77,0.000912,0.203,7.0
Haunt You,61l4Cfs1gVrmrDNZuS5pez,0.525,0.887,0.00394,0.15,6.0
Bullet Train (feat. Joni Fatora),6lbhkPbkKj6jnPTt1FelVo,0.546,0.703,0.00797,0.205,8.0
Wake Me Up When September Ends,3ZffCQKLFLUvYM59XKLbVm,0.546,0.814,0.023,0.133,7.0
Flashback,4BcFmLv7C3SmYaTVOukEom,0.494,0.948,0.00207,0.188,0.0
We Found Love,0385HqYimoTQaHZP17KwG1,0.738,0.776,0.0234,0.628,1.0
Fangz,1sLEBnXrMKjozWSG5JjkYq,0.687,0.599,0.122,0.485,2.0
I Cry,4bZd0nRuX8HyjeXAUBczvm,0.693,0.822,0.00616,0.76,4.0
You Used to Hold Me - Laidback Luke Remix,4FFuWp6JTQdZK5a5G3GADX,0.706,0.919,0.00278,0.04,7.0
Who's Gonna Save Us - Original Mix,6tzOconzD4bSDhoEs1d2vg,0.514,0.818,0.000419,0.196,10.0
Lost in the Future,0Z99qIN6Vur4XDCI6ez7A2,0.397,0.865,0.00513,0.225,5.0
Whistle,0ltBH1JNzSvQJPjJpvTu9B,0.754,0.933,0.0199,0.735,0.0
Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,0.72,0.802,0.0921,0.716,1.0
Too Late,3pjQbv6ZZO0JX8A0opiBeU,0.481,0.91,0.000997,0.358,11.0
Eat Sleep Rave Repeat - Remix,4ka8vSI2HuSWsYBYcGcQof,0.636,0.876,0.188,0.363,2.0
Fever,4MzGM692jKGkNSQ7qzeTaJ,0.609,0.674,0.00378,0.744,9.0
Angels x Demons - Radio Edit,00fyh6rdq1MskrFcae4efz,0.682,0.847,0.0536,0.514,9.0
Around The World,1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,0.00356,0.84,7.0
Slot Machine,7H7SZzXnWlJPcsIv5uISXw,0.794,0.959,0.0284,0.529,4.0
21 Guns,64yrDBpcdwEdNY9loyEGbX,0.268,0.742,0.0518,0.413,5.0
Nothin' On You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,0.688,0.853,0.386,0.734,10.0
My House,6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,0.0215,0.731,7.0
Red Nose,6Or2a4HxPTkZHeyqBnp2aY,0.827,0.517,0.479,0.717,11.0
Low (feat T-Pain),0CAfXk7DXMnon4gLudAp7J,0.918,0.609,0.0928,0.304,10.0
Twerk - Original Mix,5r14W16ijoqLwf0cGBeIii,0.324,0.844,0.00083,0.325,6.0
The Devil's Den,687RRToOFAtpqZRzmbhGtu,0.616,0.946,0.00075,0.332,1.0
Leaving You - Radio Edit,22qUyTlEvJf6DAlyQjMADe,0.638,0.74,0.0214,0.465,9.0
Too Close,4sK96UnGx3NjBaqvfTG2dm,0.579,0.731,0.0137,0.289,11.0
As The Rush Comes - Gabriel & Dresden Chillout Mix,2e2heYBbXWRsDsUtTIVIaF,0.492,0.715,0.217,0.164,7.0
Cleanin' Out My Closet,2Vyny7HMXDxIw4NqqkViAn,0.907,0.756,0.0816,0.901,9.0
I Run This - Original Mix,6Ul1QbGgR9PqS9Sj2eci82,0.706,0.899,0.00412,0.799,7.0
Light It Up (feat. Heather Bright),5tq5d4HznUEVS8jYxxRiVe,0.358,0.77,0.00173,0.213,9.0
Hell & Back,0FsPxILNGMIKCb9OACFNt6,0.597,0.545,0.339,0.347,8.0
Legends (feat. Kalibwoy) - Original Mix,39eP8XKgF9jchwi6cPIxPl,0.647,0.856,0.0225,0.667,11.0
Last Jungle,2kDVDefTovXooa3OiLRR4H,0.477,0.76,0.00152,0.0518,5.0
