track_id,track_name,popularity,playlist_id,danceability,energy,acousticness,valence,tempo
149kdyQwLdqHBjXbbNS7FY,All I Ever Wanted,57,9,0.552,0.907,0.0525,0.57,126.995
2Aly0kBHnpKvRiKi0qSaNR,Bad Machine (feat. Insomnia) - Original Mix,39,9,0.606,0.824,0.000799,0.43,140.076
0hAR6VcN5P1klbHiZmDMJc,It's Time - Original Mix,0,9,0.744,0.806,0.00774,0.468,130.037
33lXq3csEWwYNn6x0sM3Et,Something Better,56,9,0.561,0.837,0.0616,0.436,126.012
2JPxMMWWLPz50bLqdfxgjg,Got 2 Know,41,9,0.659,0.757,0.0111,0.487,139.949
5KK05UNvYyH2QMyBlHGKtW,Roses - Zaxx Remix,9,9,0.677,0.881,0.00445,0.53,128.121
5Xq4pohu7lgwVDTIoybFKR,Dark Horse (Dubstep Remix),11,9,0.536,0.779,0.0749,0.354,139.981
5MA073FFuaaP8TB26zKCVh,Back To Love,35,9,0.601,0.843,0.00591,0.369,127.014
3myI1o0izYfh2z9JTQzCfJ,Don't Let Me Fall,49,9,0.543,0.73,0.00631,0.26,150.187
59zAd7yrbjSpwKS8oP9RKc,To The Sky - Original Mix,22,9,0.505,0.868,4.71e-05,0.363,140.074
09ksjcoNRqa20lCyzNsKjB,Levels,16,9,0.661,0.716,0.00423,0.368,139.948
7qCruyo7rRwh7kfvggwv1v,In My Head,23,9,0.517,0.875,0.00505,0.442,140.217
5yH1lUTtIVIQAtKpvIEM5J,Ghosts - Extended Mix,0,9,0.574,0.875,0.000351,0.516,127.994
6vscP7Fweq7fwosyliwjRq,I Love It When You Cry (Moxoki) - Radio Edit,60,9,0.639,0.795,0.0246,0.438,128.013
3nPpCn5nYTMg0ajmzv57Jq,Lights - Bassnectar Remix,52,9,0.529,0.809,0.00422,0.325,140.006
4uGucgzv0ydi35DgAlsTQ4,Jump (feat. Nelly Furtado),44,9,0.731,0.813,0.00439,0.509,130.028
3WyXP15dqzhKtfcjqX1vsj,Strange Behaviour - Original Mix,41,9,0.586,0.813,0.0631,0.336,139.711
3GLXFIHck82iqnWqhnm03n,Some Wobbles,31,9,0.581,0.799,0.00393,0.35,139.994
5yQmKyKEdjtxFDPIK9mFLn,Rise & Fall (feat. Krewella),47,9,0.513,0.819,0.00224,0.445,140.055
6vPJvkEuWZPcv58NnQ3dBR,Sweet Escape,51,9,0.571,0.846,0.0876,0.474,126.048
04OxTCLGgDKfO0MMA2lcxv,Blind Faith,37,9,0.454,0.854,0.00416,0.38,139.913
4CT0sNfZF2h3f7YlWxLpmd,Dead And Gone - feat. Justin Timberlake,28,9,0.712,0.748,0.0458,0.405,135.0
0MyiW8Cp18ZMsZJfZhbuQ0,Feel This Moment,44,9,0.668,0.758,0.0338,0.514,135.958
34SeXRsXqAQPMCW9X1Gdzs,Keep Moving - Original Mix,19,9,0.585,0.89,0.00717,0.427,130.006
4oZNnBytvWrddsoaFPO4RD,Eyes on Fire - Zeds Dead RMX,5,9,0.567,0.725,0.00926,0.292,144.693
5EYmoAWIbrnrSMMkfHpJ2t,Runaway (U & I) - Kaskade Remix,47,9,0.625,0.861,0.000939,0.443,125.963
00fyh6rdq1MskrFcae4efz,Angels x Demons - Radio Edit,32,9,0.682,0.847,0.0536,0.514,127.968
6X0WsSsMMwam5AzVxlUUzo,Liberate,48,9,0.515,0.877,0.0024,0.444,126.996
0xcl9XT60Siji6CSG4y6nb,Club Can't Handle Me (feat. David Guetta),58,9,0.623,0.882,0.0205,0.523,127.98
